source,target,predicate,ev_count
20_hydroxy_5_8_11_14_eicosatetraenoic_acid,Hypertension,CAUSES,10
APP_gene,Alzheimers,CAUSES,252
APP_protein_human,Alzheimers,CAUSES,299
ATM_gene_ATM,Hypertension,CAUSES,11
Abnormal_renal_function,Hypertension,CAUSES,11
Acetate,Hypertension,CAUSES,90
Acetylcholinesterase,Alzheimers,CAUSES,17
Administration_Oral,Hypertension,CAUSES,20
Adrenal_Cortex_Hormones,Hypertension,CAUSES,28
Adrenal_Gland_Neoplasms,Hypertension,CAUSES,10
Adrenergic_Receptor,Hypertension,CAUSES,11
Adverse_effects,Alzheimers,CAUSES,10
Adverse_effects,Hypertension,CAUSES,14
Agent,Alzheimers,CAUSES,21
Agent,Hypertension,CAUSES,31
Aldosterone,Hypertension,CAUSES,84
Alzheimers,Aging,CAUSES,25
Alzheimers,Amyloid_deposition,CAUSES,10
Alzheimers,Atrophic,CAUSES,21
Alzheimers,Cerebral_atrophy,CAUSES,21
Alzheimers,Cessation_of_life,CAUSES,336
Alzheimers,Degenerative_abnormality,CAUSES,31
Alzheimers,Dementia_Vascular,CAUSES,10
Alzheimers,Diagnosis,CAUSES,48
Alzheimers,Disability_NOS,CAUSES,43
Alzheimers,Disease,CAUSES,252
Alzheimers,Evaluation,CAUSES,10
Alzheimers,Evaluation_procedure,CAUSES,10
Alzheimers,Functional_disorder,CAUSES,70
Alzheimers,Inflammation,CAUSES,22
Alzheimers,Lewy_Body_Disease,CAUSES,10
Alzheimers,Memory_Loss,CAUSES,28
Alzheimers,Neurodegenerative_Disorders,CAUSES,29
Alzheimers,Neurofibrillary_Tangles,CAUSES,16
Alzheimers,Parkinson_Disease,CAUSES,14
Alzheimers,Senile_Plaques,CAUSES,25
Alzheimers,Senile_dementia,CAUSES,38
Alzheimers,Symptoms,CAUSES,32
Alzheimers,Syndrome,CAUSES,28
Amyloid,Alzheimers,CAUSES,270
Amyloid_Fibrils,Alzheimers,CAUSES,31
Amyloid_beta,Alzheimers,CAUSES,30
Amyloid_beta_Peptides,Alzheimers,CAUSES,359
Amyloid_beta_Protein_Precursor,Alzheimers,CAUSES,288
Amyloid_deposition,Alzheimers,CAUSES,46
Amyloidosis,Alzheimers,CAUSES,19
Androgens,Hypertension,CAUSES,13
Angiogenesis_Inhibitors,Hypertension,CAUSES,21
Angiotensins,Hypertension,CAUSES,32
Antihypertensive_Agents,Hypertension,CAUSES,13
Antioxidants,Alzheimers,CAUSES,23
Antioxidants,Hypertension,CAUSES,20
Aortic_coarctation,Hypertension,CAUSES,62
Apolipoprotein_E4,Alzheimers,CAUSES,36
Apolipoprotein_E_APOE,Alzheimers,CAUSES,68
Arginine,Hypertension,CAUSES,15
Argipressin,Hypertension,CAUSES,45
Atherosclerosis,Hypertension,CAUSES,18
Atherosclerotic_renal_artery_stenosis,Hypertension,CAUSES,21
Atrophic,Alzheimers,CAUSES,10
Autonomic_Dysreflexia,Hypertension,CAUSES,11
Banding_procedure,Hypertension,CAUSES,13
Bilateral_renal_artery_stenosis,Hypertension,CAUSES,17
Blood_Pressure_Monitoring_Ambulatory,Hypertension,CAUSES,10
Brain_Injuries,Alzheimers,CAUSES,10
COVID_19,Hypertension,CAUSES,17
Cadmium,Hypertension,CAUSES,47
Calcineurin_inhibitor,Hypertension,CAUSES,13
Calcium,Hypertension,CAUSES,10
Candidate_Disease_Gene,Hypertension,CAUSES,11
Cardiovascular_Diseases,Hypertension,CAUSES,29
Catecholamines,Hypertension,CAUSES,38
Cerebral_Amyloid_Angiopathy,Alzheimers,CAUSES,12
Cerebral_atrophy,Alzheimers,CAUSES,12
Cerebrospinal_Fluid,Alzheimers,CAUSES,17
Cerebrovascular_accident,Hypertension,CAUSES,22
Cholesterol,Alzheimers,CAUSES,42
Chronic_Kidney_Diseases,Hypertension,CAUSES,19
Chronic_inflammation,Alzheimers,CAUSES,19
Chronic_inflammation,Hypertension,CAUSES,12
Chymosin_REN,Hypertension,CAUSES,15
Clip,Hypertension,CAUSES,16
Clipping,Hypertension,CAUSES,14
Closure_by_clamp,Hypertension,CAUSES,10
Cocaine,Hypertension,CAUSES,17
Complication,Hypertension,CAUSES,32
Compression_procedure,Hypertension,CAUSES,36
Congenital_Abnormality,Hypertension,CAUSES,17
Conn_Syndrome,Hypertension,CAUSES,188
Constriction_procedure,Hypertension,CAUSES,58
Contraceptives_Oral,Hypertension,CAUSES,35
Contraction,Hypertension,CAUSES,10
Copper,Alzheimers,CAUSES,12
Corticosterone,Hypertension,CAUSES,13
Corticotropin,Hypertension,CAUSES,99
Cushing_Syndrome,Hypertension,CAUSES,10
Cyclosporine,Hypertension,CAUSES,161
DNA_Mitochondrial,Alzheimers,CAUSES,10
DOCA,Hypertension,CAUSES,17
Degenerative_abnormality,Alzheimers,CAUSES,49
Degenerative_abnormality,Hypertension,CAUSES,12
Dementia,Alzheimers,CAUSES,61
Denervation,Hypertension,CAUSES,22
Deoxycorticosterone,Hypertension,CAUSES,49
Deterioration,Alzheimers,CAUSES,10
Dexamethasone,Hypertension,CAUSES,65
Diabetes,Alzheimers,CAUSES,22
Diabetes,Hypertension,CAUSES,43
Diabetes_Mellitus,Hypertension,CAUSES,15
Diabetes_Mellitus_Non_Insulin_Dependent,Alzheimers,CAUSES,15
Diabetic_Nephropathy,Hypertension,CAUSES,10
Diet,Alzheimers,CAUSES,18
Diet,Hypertension,CAUSES,263
Diet_High_Fat,Hypertension,CAUSES,32
Diet_Protein_Restricted,Hypertension,CAUSES,19
Disease,Alzheimers,CAUSES,77
Disease,Hypertension,CAUSES,175
Dopamine,Hypertension,CAUSES,28
Dopamine_Receptor,Hypertension,CAUSES,13
Down_Syndrome,Alzheimers,CAUSES,14
Drinking_Water,Hypertension,CAUSES,20
ERCC8_CSH1_HSPA9,Hypertension,CAUSES,24
Embolism,Hypertension,CAUSES,13
Emotional_Stress,Hypertension,CAUSES,12
Endocrine_System_Diseases,Hypertension,CAUSES,13
Endopeptidases,Alzheimers,CAUSES,10
Endothelial_dysfunction,Hypertension,CAUSES,59
Endothelin,Hypertension,CAUSES,32
Endothelin_1,Hypertension,CAUSES,39
Enzymes,Alzheimers,CAUSES,19
Epinephrine,Hypertension,CAUSES,60
Erythropoietin,Hypertension,CAUSES,59
Essential_Hypertension,Hypertension,CAUSES,18
Estrogens,Hypertension,CAUSES,23
Ethanol,Hypertension,CAUSES,78
Excision,Hypertension,CAUSES,19
FRAGMENTS,Alzheimers,CAUSES,29
Fetal_Growth_Retardation,Hypertension,CAUSES,17
Fibromuscular_Dysplasia,Hypertension,CAUSES,40
Fibrosis,Hypertension,CAUSES,15
Fluid_overload,Hypertension,CAUSES,17
Free_Radicals,Alzheimers,CAUSES,16
Functional_disorder,Alzheimers,CAUSES,150
Functional_disorder,Hypertension,CAUSES,54
Gene_Mutation,Alzheimers,CAUSES,31
Genes,Alzheimers,CAUSES,105
Genes,Hypertension,CAUSES,62
Glucocorticoid_remediable_aldosteronism,Hypertension,CAUSES,14
Glucocorticoids,Hypertension,CAUSES,108
Glycogen_Synthase_Kinase_3,Alzheimers,CAUSES,15
Glycosylation_End_Products_Advanced,Alzheimers,CAUSES,10
Glycyrrhizic_Acid,Hypertension,CAUSES,13
Heart_failure,Hypertension,CAUSES,15
Herpesvirus_1_Human,Alzheimers,CAUSES,20
Hormones,Hypertension,CAUSES,11
Hydrocortisone,Hypertension,CAUSES,40
Hydronephrosis,Hypertension,CAUSES,22
Hyperaldosteronism,Hypertension,CAUSES,29
Hypercalcemia,Hypertension,CAUSES,10
Hyperglycemia,Hypertension,CAUSES,13
Hyperinsulinism,Hypertension,CAUSES,55
Hypernatremia,Hypertension,CAUSES,35
Hyperplasia,Hypertension,CAUSES,13
Hypertension,Abdominal_compartment_syndrome,CAUSES,18
Hypertension,Abnormal_renal_function,CAUSES,16
Hypertension,Adverse_effects,CAUSES,17
Hypertension,Alzheimers,CAUSES,11
Hypertension,Arteriosclerosis,CAUSES,25
Hypertension,Atherosclerosis,CAUSES,44
Hypertension,Atrial_Fibrillation,CAUSES,28
Hypertension,Blood_Pressure,CAUSES,42
Hypertension,Brain_Edema,CAUSES,11
Hypertension,Brain_hemorrhage,CAUSES,13
Hypertension,Cardiac_Hypertrophy,CAUSES,134
Hypertension,Cardiac_complication,CAUSES,14
Hypertension,Cardiomyopathies,CAUSES,16
Hypertension,Cardiovascular_Diseases,CAUSES,243
Hypertension,Cardiovascular_morbidity,CAUSES,81
Hypertension,Cerebral_Edema,CAUSES,10
Hypertension,Cerebral_Hemorrhage,CAUSES,13
Hypertension,Cerebral_hemisphere_hemorrhage,CAUSES,57
Hypertension,Cerebrovascular_Disorders,CAUSES,18
Hypertension,Cerebrovascular_accident,CAUSES,138
Hypertension,Cessation_of_life,CAUSES,375
Hypertension,Chronic_Kidney_Diseases,CAUSES,36
Hypertension,Chronic_heart_failure,CAUSES,11
Hypertension,Complication,CAUSES,155
Hypertension,Congestive_heart_failure,CAUSES,43
Hypertension,Contraction,CAUSES,12
Hypertension,Coronary_Arteriosclerosis,CAUSES,25
Hypertension,Coronary_heart_disease,CAUSES,20
Hypertension,Dementia_Vascular,CAUSES,19
Hypertension,Diabetes,CAUSES,21
Hypertension,Diabetes_Mellitus,CAUSES,11
Hypertension,Diabetes_Mellitus_Non_Insulin_Dependent,CAUSES,10
Hypertension,Diabetic_Nephropathy,CAUSES,11
Hypertension,Diagnosis,CAUSES,40
Hypertension,Diastolic_dysfunction,CAUSES,23
Hypertension,Disability_NOS,CAUSES,24
Hypertension,Disease,CAUSES,139
Hypertension,Dissection_of_aorta,CAUSES,14
Hypertension,Edema,CAUSES,28
Hypertension,Encephalopathies,CAUSES,17
Hypertension,End_stage_renal_failure,CAUSES,162
Hypertension,Endothelial_dysfunction,CAUSES,73
Hypertension,Erectile_dysfunction,CAUSES,20
Hypertension,Essential_Hypertension,CAUSES,21
Hypertension,Extravasation,CAUSES,12
Hypertension,Fetal_Growth_Retardation,CAUSES,15
Hypertension,Fibrosis,CAUSES,56
Hypertension,Functional_disorder,CAUSES,86
Hypertension,Glomerulosclerosis,CAUSES,14
Hypertension,Growth,CAUSES,10
Hypertension,Headache,CAUSES,28
Hypertension,Heart_Diseases,CAUSES,47
Hypertension,Heart_failure,CAUSES,235
Hypertension,Hospital_admission,CAUSES,12
Hypertension,Hospitalization,CAUSES,24
Hypertension,Hypertension_Pulmonary,CAUSES,12
Hypertension,Hypertensive_heart_disease_NOS,CAUSES,10
Hypertension,Hypertrophic_Cardiomyopathy,CAUSES,19
Hypertension,Hypertrophy,CAUSES,131
Hypertension,Hypertrophy_Left_Ventricular,CAUSES,285
Hypertension,Hypoxia,CAUSES,12
Hypertension,Infarction,CAUSES,11
Hypertension,Inflammation,CAUSES,27
Hypertension,Insulin_Resistance,CAUSES,19
Hypertension,Intracranial_Hemorrhages,CAUSES,11
Hypertension,Ischemia,CAUSES,20
Hypertension,Ischemic_stroke,CAUSES,12
Hypertension,Kidney_Diseases,CAUSES,65
Hypertension,Kidney_Failure,CAUSES,71
Hypertension,Kidney_Failure_Acute,CAUSES,10
Hypertension,Kidney_Failure_Chronic,CAUSES,127
Hypertension,Labor_Childbirth,CAUSES,42
Hypertension,Lack_of_sensation,CAUSES,13
Hypertension,Myocardial_Infarction,CAUSES,38
Hypertension,Myocardial_Ischemia,CAUSES,23
Hypertension,Myocardial_dysfunction,CAUSES,13
Hypertension,Myocardial_fibrosis,CAUSES,18
Hypertension,Nephrosclerosis,CAUSES,15
